Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Renato,tvui,postPlay,,,2022-01-08 03:55:18
Renato,tvui,postPlay,,,2022-01-08 03:13:20
Renato,tvui,playback,,,2022-01-08 03:13:20
Renato,tvui,playback,,,2022-01-08 03:13:15
Renato,tvui,postPlay,,,2022-01-08 03:13:15
Renato,tvui,movieDetails,,,2022-01-08 02:59:45
Renato,tvui,playback,,,2022-01-08 02:59:45
Renato,tvui,playback,,,2022-01-08 02:59:41
Renato,tvui,movieDetails,,,2022-01-08 02:59:41
Renato,tvui,movieDetails,,,2022-01-08 02:59:35
Renato,tvui,playback,,,2022-01-08 02:59:35
Renato,tvui,movieDetails,,,2022-01-08 02:59:29
Renato,tvui,search,,,2022-01-08 02:59:29
Renato,tvui,search,,,2022-01-08 02:58:57
Renato,tvui,movieDetails,,,2022-01-08 02:58:57
Renato,tvui,movieDetails,,,2022-01-08 02:58:49
Renato,tvui,playback,,,2022-01-08 02:58:49
Renato,tvui,movieDetails,,,2022-01-08 02:43:21
Renato,tvui,playback,,,2022-01-08 02:43:21
Renato,tvui,search,,,2022-01-08 02:43:18
Renato,tvui,movieDetails,,,2022-01-08 02:43:18
Renato,tvui,browseTitles,,,2022-01-08 02:42:42
Renato,tvui,search,,,2022-01-08 02:42:42
Renato,tvui,profilesGate,,,2022-01-08 02:42:34
Renato,tvui,browseTitles,,,2022-01-08 02:42:34
Renato,tvui,screenSaver,,,2022-01-08 02:42:31
Renato,tvui,screenSaver,,,2022-01-08 02:42:31
Renato,tvui,profilesGate,,,2022-01-08 02:42:31
Renato,tvui,profilesGate,,,2022-01-08 02:15:02
Renato,tvui,screenSaver,,,2022-01-08 02:15:02
Renato,tvui,profilesGate,,,2022-01-08 02:10:02
Renato,android,browseTitles,,,2022-01-08 01:45:36
Renato,android,browseTitles,,,2022-01-08 01:45:35
Renato,android,browseTitles,,,2022-01-08 01:45:35
Renato,android,accountMenu,,,2022-01-08 01:45:34
Renato,android,accountMenu,,,2022-01-08 01:45:34
Renato,android,accountMenu,,,2022-01-08 01:45:34
Renato,android,accountMenu,,,2022-01-08 01:45:11
Renato,android,browseTitles,,,2022-01-08 01:45:10
Renato,android,browseTitles,,,2022-01-08 01:43:32
Renato,android,browseTitles,,,2022-01-08 01:43:32
Renato,android,accountMenu,,,2022-01-08 01:43:31
Renato,android,accountMenu,,,2022-01-08 01:43:31
Renato,android,accountMenu,,,2022-01-08 01:43:31
Renato,android,browseTitles,,,2022-01-08 01:43:31
Renato,android,accountMenu,,,2022-01-08 01:42:55
Renato,android,browseTitles,,,2022-01-08 01:42:54
Renato,tvui,playback,,,2022-01-08 01:11:45
Renato,tvui,exitDialog,,,2022-01-08 01:11:45
Renato,tvui,movieDetails,,,2022-01-08 01:11:45
Renato,tvui,playback,,,2022-01-08 01:11:45
Renato,tvui,playback,,,2022-01-08 01:11:42
Renato,tvui,exitDialog,,,2022-01-08 01:11:42
Renato,tvui,movieDetails,,,2022-01-08 01:06:03
Renato,tvui,playback,,,2022-01-08 01:06:03
Renato,tvui,exitDialog,,,2022-01-08 00:39:01
Renato,tvui,movieDetails,,,2022-01-08 00:39:01
Renato,tvui,exitDialog,,,2022-01-08 00:38:59
Renato,tvui,movieDetails,,,2022-01-08 00:38:59
Renato,tvui,playback,,,2022-01-08 00:38:58
Renato,tvui,postPlay,,,2022-01-08 00:38:58
Renato,tvui,postPlay,,,2022-01-08 00:38:57
Renato,tvui,movieDetails,,,2022-01-08 00:38:57
Renato,tvui,episodesSelector,,,2022-01-07 23:44:55
Renato,tvui,playback,,,2022-01-07 23:44:55
Renato,tvui,movieDetails,,,2022-01-07 23:44:46
Renato,tvui,episodesSelector,,,2022-01-07 23:44:46
Renato,tvui,browseTitles,,,2022-01-07 23:44:40
